ISOAlpha3,Country,Indicator,Age,Sex,Year,Domain,Indicator Code,Lower value,Upper value,Value
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,4.5,6.69,5.61
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,3.32,4.76,3.99
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,5.64,8.44,7.02
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,7.1,10.47,8.8
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,3.25,5.39,4.31
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,4.55,6.74,5.63
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,3.29,4.65,3.93
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,5.57,8.48,6.98
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,7.72,11.26,9.46
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,3.58,5.84,4.7
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,4.6,6.86,5.71
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,3.31,4.75,3.93
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,5.65,8.4,6.99
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,8.1,11.87,9.97
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,3.88,6.29,5.06
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,4.59,6.79,5.65
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,3.36,4.74,4.02
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,5.76,8.62,7.17
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,8.37,11.89,10.12
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,4.11,6.61,5.31
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,4.44,6.52,5.48
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,3.48,4.95,4.14
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,5.97,8.97,7.5
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,8.1,11.72,9.87
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,4.11,6.51,5.33
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,4.26,6.26,5.2
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,3.55,5.11,4.25
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,6.3,9.4,7.85
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,7.68,11.02,9.28
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,4.06,6.38,5.19
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,4.2,6.13,5.11
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,3.61,5.2,4.32
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,6.47,9.42,7.84
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,7.15,10.32,8.71
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,3.81,6.11,4.93
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,4.25,6.18,5.16
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,3.6,5.18,4.33
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,6.32,9.21,7.72
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,6.92,9.96,8.38
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,3.64,5.82,4.71
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,4.3,6.37,5.31
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,3.55,5.18,4.26
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,6.02,8.76,7.4
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,6.78,9.72,8.23
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,3.55,5.62,4.52
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,4.36,6.47,5.39
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,3.5,5.08,4.2
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,6,8.52,7.21
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,6.81,9.65,8.18
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,3.42,5.38,4.35
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,4.35,6.59,5.42
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,3.43,4.99,4.11
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,5.85,8.34,7.06
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,6.71,9.63,8.01
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,3.35,5.25,4.23
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,4.47,6.75,5.56
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,3.19,4.71,3.88
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,5.79,8.39,7.03
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,5.64,8.32,6.94
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,3.31,5.15,4.13
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,4.46,6.84,5.59
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,2.87,4.32,3.55
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,5.82,8.22,6.97
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,4.54,6.82,5.65
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,3.2,5.06,4.02
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,4.47,6.87,5.61
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,2.7,4,3.3
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,5.74,8.2,6.88
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,3.38,5.13,4.2
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,3.09,4.89,3.91
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,4.36,6.61,5.45
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,2.7,3.96,3.27
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,5.73,8.02,6.78
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,2.85,4.39,3.56
BLZ,Belize,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,4.54,7.27,5.84
CRI,Costa Rica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,4.61,7.12,5.89
SLV,El Salvador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,3,4.76,3.87
GTM,Guatemala,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,2.07,2.87,2.42
HND,Honduras,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,2.77,4.36,3.51
MEX,Mexico,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,5.26,7.89,6.52
NIC,Nicaragua,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,3.89,6.1,5.04
PAN,Panama,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,4.56,6.48,5.46
BLZ,Belize,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,4.54,7.27,5.84
CRI,Costa Rica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,4.61,7.12,5.89
SLV,El Salvador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,3,4.76,3.87
GTM,Guatemala,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,2.07,2.87,2.42
HND,Honduras,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,2.77,4.36,3.51
MEX,Mexico,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,5.26,7.89,6.52
NIC,Nicaragua,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,3.89,6.1,5.04
PAN,Panama,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,4.56,6.48,5.46
BLZ,Belize,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,4.88,7.77,6.34
CRI,Costa Rica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,4.55,6.9,5.74
SLV,El Salvador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,3.07,4.98,3.99
GTM,Guatemala,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,1.99,2.78,2.36
HND,Honduras,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,2.85,4.55,3.69
MEX,Mexico,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,5.14,7.72,6.44
NIC,Nicaragua,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,3.97,6.29,5.11
PAN,Panama,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,4.46,6.39,5.4
BLZ,Belize,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,5.2,8.27,6.77
CRI,Costa Rica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,4.48,6.77,5.59
SLV,El Salvador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,3.14,4.98,4
GTM,Guatemala,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,1.98,2.71,2.32
HND,Honduras,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,3.02,4.7,3.78
MEX,Mexico,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,5.05,7.72,6.42
NIC,Nicaragua,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,4.05,6.46,5.24
PAN,Panama,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,4.57,6.47,5.45
BLZ,Belize,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,5.74,8.92,7.22
CRI,Costa Rica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,4.36,6.65,5.49
SLV,El Salvador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,3.05,4.87,3.92
GTM,Guatemala,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,1.96,2.7,2.3
HND,Honduras,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,3.08,4.73,3.82
MEX,Mexico,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,5.08,7.85,6.46
NIC,Nicaragua,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,4.18,6.58,5.32
PAN,Panama,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,4.53,6.42,5.43
BLZ,Belize,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,5.6,8.65,7.19
CRI,Costa Rica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,4.43,6.71,5.51
SLV,El Salvador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,2.99,4.77,3.81
GTM,Guatemala,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,1.95,2.65,2.28
HND,Honduras,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,3.09,4.84,3.89
MEX,Mexico,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,5.24,7.91,6.55
NIC,Nicaragua,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,4.16,6.51,5.28
PAN,Panama,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,4.61,6.54,5.48
BLZ,Belize,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,5.83,9.13,7.48
CRI,Costa Rica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,4.43,6.64,5.53
SLV,El Salvador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,2.94,4.63,3.79
GTM,Guatemala,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,1.96,2.69,2.28
HND,Honduras,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,3.1,4.92,3.95
MEX,Mexico,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,4.94,7.66,6.21
NIC,Nicaragua,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,4.17,6.54,5.29
PAN,Panama,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,4.76,6.67,5.63
BLZ,Belize,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,6.1,9.16,7.68
CRI,Costa Rica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,4.48,6.63,5.56
SLV,El Salvador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,2.92,4.7,3.76
GTM,Guatemala,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,1.93,2.61,2.24
HND,Honduras,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,3.09,4.8,3.88
MEX,Mexico,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,4.54,7.15,5.87
NIC,Nicaragua,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,4.22,6.47,5.26
PAN,Panama,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,5.17,7.17,6.04
BLZ,Belize,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,6.03,9.43,7.68
CRI,Costa Rica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,4.36,6.48,5.42
SLV,El Salvador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,2.87,4.6,3.67
GTM,Guatemala,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,1.86,2.52,2.16
HND,Honduras,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,2.95,4.72,3.77
MEX,Mexico,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,4.28,6.76,5.49
NIC,Nicaragua,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,3.96,6.22,5.1
PAN,Panama,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,5.46,7.62,6.43
BLZ,Belize,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,5.76,9.02,7.4
CRI,Costa Rica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,4.16,6.17,5.12
SLV,El Salvador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,2.7,4.4,3.46
GTM,Guatemala,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,1.78,2.44,2.07
